FNDDTL_FUND_DETAIL_KEY,FNDDTL_FUND_DETAIL_CODE,FNDDTL_FUND_DETAIL_NAME,FND_FUND_CODE,FND_FUND_NAME
5259,4400,HIGHWAY MAINTENANCE AND OPERATING FEDERAL MATCH,44,HIGHWAY MAINTENANCE AND OPERATING FEDERAL MATCH
5260,4400,HIGHWAY MAINTENANCE AND OPERATING FEDERAL MATCH,44,HIGHWAY MAINTENANCE AND OPERATING FEDERAL MATCH
5261,8800,DEBT SERVICE FEDERAL MATCH,88,DEBT SERVICE FEDERAL MATCH
5262,8800,DEBT SERVICE FEDERAL MATCH,88,DEBT SERVICE FEDERAL MATCH
5263,8800,DEBT SERVICE FEDERAL MATCH,88,DEBT SERVICE FEDERAL MATCH
5264,7700,TRUST AND AGENCY FEDERAL MATCH,77,TRUST AND AGENCY FEDERAL MATCH
5265,7700,TRUST AND AGENCY FEDERAL MATCH,77,TRUST AND AGENCY FEDERAL MATCH
5266,7700,TRUST AND AGENCY FEDERAL MATCH,77,TRUST AND AGENCY FEDERAL MATCH
5267,8800,DEBT SERVICE FEDERAL MATCH,88,DEBT SERVICE FEDERAL MATCH
5268,8800,DEBT SERVICE FEDERAL MATCH,88,DEBT SERVICE FEDERAL MATCH
5269,8800,DEBT SERVICE FEDERAL MATCH,88,DEBT SERVICE FEDERAL MATCH
5270,8800,DEBT SERVICE FEDERAL MATCH,88,DEBT SERVICE FEDERAL MATCH
5271,8800,DEBT SERVICE FEDERAL MATCH,88,DEBT SERVICE FEDERAL MATCH
5272,8800,DEBT SERVICE FEDERAL MATCH,88,DEBT SERVICE FEDERAL MATCH
5273,8800,DEBT SERVICE FEDERAL MATCH,88,DEBT SERVICE FEDERAL MATCH
5274,8800,DEBT SERVICE FEDERAL MATCH,88,DEBT SERVICE FEDERAL MATCH
5275,8800,DEBT SERVICE FEDERAL MATCH,88,DEBT SERVICE FEDERAL MATCH
5276,7700,TRUST AND AGENCY FEDERAL MATCH,77,TRUST AND AGENCY FEDERAL MATCH
5277,7700,TRUST AND AGENCY FEDERAL MATCH,77,TRUST AND AGENCY FEDERAL MATCH
5278,7700,TRUST AND AGENCY FEDERAL MATCH,77,TRUST AND AGENCY FEDERAL MATCH
5279,8800,DEBT SERVICE FEDERAL MATCH,88,DEBT SERVICE FEDERAL MATCH
5280,8800,DEBT SERVICE FEDERAL MATCH,88,DEBT SERVICE FEDERAL MATCH
5281,7700,TRUST AND AGENCY FEDERAL MATCH,77,TRUST AND AGENCY FEDERAL MATCH
5282,7700,TRUST AND AGENCY FEDERAL MATCH,77,TRUST AND AGENCY FEDERAL MATCH
5283,7700,TRUST AND AGENCY FEDERAL MATCH,77,TRUST AND AGENCY FEDERAL MATCH
5284,5500,ENTERPRISE FEDERAL MATCH,55,ENTERPRISE FEDERAL MATCH
5285,5500,ENTERPRISE FEDERAL MATCH,55,ENTERPRISE FEDERAL MATCH
5286,5500,ENTERPRISE FEDERAL MATCH,55,ENTERPRISE FEDERAL MATCH
5287,7700,TRUST AND AGENCY FEDERAL MATCH,77,TRUST AND AGENCY FEDERAL MATCH
5288,7700,TRUST AND AGENCY FEDERAL MATCH,77,TRUST AND AGENCY FEDERAL MATCH
5289,7700,TRUST AND AGENCY FEDERAL MATCH,77,TRUST AND AGENCY FEDERAL MATCH
5290,7700,TRUST AND AGENCY FEDERAL MATCH,77,TRUST AND AGENCY FEDERAL MATCH
5291,7700,TRUST AND AGENCY FEDERAL MATCH,77,TRUST AND AGENCY FEDERAL MATCH
5292,7700,TRUST AND AGENCY FEDERAL MATCH,77,TRUST AND AGENCY FEDERAL MATCH
5293,7700,TRUST AND AGENCY FEDERAL MATCH,77,TRUST AND AGENCY FEDERAL MATCH
5294,7700,TRUST AND AGENCY FEDERAL MATCH,77,TRUST AND AGENCY FEDERAL MATCH
5295,7700,TRUST AND AGENCY FEDERAL MATCH,77,TRUST AND AGENCY FEDERAL MATCH
5296,7700,TRUST AND AGENCY FEDERAL MATCH,77,TRUST AND AGENCY FEDERAL MATCH
5297,7700,TRUST AND AGENCY FEDERAL MATCH,77,TRUST AND AGENCY FEDERAL MATCH
5298,7700,TRUST AND AGENCY FEDERAL MATCH,77,TRUST AND AGENCY FEDERAL MATCH
5299,7700,TRUST AND AGENCY FEDERAL MATCH,77,TRUST AND AGENCY FEDERAL MATCH
5300,7700,TRUST AND AGENCY FEDERAL MATCH,77,TRUST AND AGENCY FEDERAL MATCH
5301,4400,HIGHWAY MAINTENANCE AND OPERATING FEDERAL MATCH,44,HIGHWAY MAINTENANCE AND OPERATING FEDERAL MATCH
5302,4400,HIGHWAY MAINTENANCE AND OPERATING FEDERAL MATCH,44,HIGHWAY MAINTENANCE AND OPERATING FEDERAL MATCH
5303,4400,HIGHWAY MAINTENANCE AND OPERATING FEDERAL MATCH,44,HIGHWAY MAINTENANCE AND OPERATING FEDERAL MATCH
5304,4400,HIGHWAY MAINTENANCE AND OPERATING FEDERAL MATCH,44,HIGHWAY MAINTENANCE AND OPERATING FEDERAL MATCH
5305,4400,HIGHWAY MAINTENANCE AND OPERATING FEDERAL MATCH,44,HIGHWAY MAINTENANCE AND OPERATING FEDERAL MATCH
5306,4400,HIGHWAY MAINTENANCE AND OPERATING FEDERAL MATCH,44,HIGHWAY MAINTENANCE AND OPERATING FEDERAL MATCH
5307,4400,HIGHWAY MAINTENANCE AND OPERATING FEDERAL MATCH,44,HIGHWAY MAINTENANCE AND OPERATING FEDERAL MATCH
5308,4400,HIGHWAY MAINTENANCE AND OPERATING FEDERAL MATCH,44,HIGHWAY MAINTENANCE AND OPERATING FEDERAL MATCH
5309,4400,HIGHWAY MAINTENANCE AND OPERATING FEDERAL MATCH,44,HIGHWAY MAINTENANCE AND OPERATING FEDERAL MATCH
5310,4400,HIGHWAY MAINTENANCE AND OPERATING FEDERAL MATCH,44,HIGHWAY MAINTENANCE AND OPERATING FEDERAL MATCH
5311,4400,HIGHWAY MAINTENANCE AND OPERATING FEDERAL MATCH,44,HIGHWAY MAINTENANCE AND OPERATING FEDERAL MATCH
5312,4400,HIGHWAY MAINTENANCE AND OPERATING FEDERAL MATCH,44,HIGHWAY MAINTENANCE AND OPERATING FEDERAL MATCH
5313,4400,HIGHWAY MAINTENANCE AND OPERATING FEDERAL MATCH,44,HIGHWAY MAINTENANCE AND OPERATING FEDERAL MATCH
5314,4400,HIGHWAY MAINTENANCE AND OPERATING FEDERAL MATCH,44,HIGHWAY MAINTENANCE AND OPERATING FEDERAL MATCH
5315,4400,HIGHWAY MAINTENANCE AND OPERATING FEDERAL MATCH,44,HIGHWAY MAINTENANCE AND OPERATING FEDERAL MATCH
5316,4400,HIGHWAY MAINTENANCE AND OPERATING FEDERAL MATCH,44,HIGHWAY MAINTENANCE AND OPERATING FEDERAL MATCH
5317,4400,HIGHWAY MAINTENANCE AND OPERATING FEDERAL MATCH,44,HIGHWAY MAINTENANCE AND OPERATING FEDERAL MATCH
5318,4400,HIGHWAY MAINTENANCE AND OPERATING FEDERAL MATCH,44,HIGHWAY MAINTENANCE AND OPERATING FEDERAL MATCH
5319,4400,HIGHWAY MAINTENANCE AND OPERATING FEDERAL MATCH,44,HIGHWAY MAINTENANCE AND OPERATING FEDERAL MATCH
5320,4400,HIGHWAY MAINTENANCE AND OPERATING FEDERAL MATCH,44,HIGHWAY MAINTENANCE AND OPERATING FEDERAL MATCH
5321,4400,HIGHWAY MAINTENANCE AND OPERATING FEDERAL MATCH,44,HIGHWAY MAINTENANCE AND OPERATING FEDERAL MATCH
5322,4400,HIGHWAY MAINTENANCE AND OPERATING FEDERAL MATCH,44,HIGHWAY MAINTENANCE AND OPERATING FEDERAL MATCH
5323,4400,HIGHWAY MAINTENANCE AND OPERATING FEDERAL MATCH,44,HIGHWAY MAINTENANCE AND OPERATING FEDERAL MATCH
5324,6600,INTERNAL SERVICE FEDERAL MATCH,66,INTERNAL SERVICE FEDERAL MATCH
5325,6600,INTERNAL SERVICE FEDERAL MATCH,66,INTERNAL SERVICE FEDERAL MATCH
5326,6600,INTERNAL SERVICE FEDERAL MATCH,66,INTERNAL SERVICE FEDERAL MATCH
5327,6600,INTERNAL SERVICE FEDERAL MATCH,66,INTERNAL SERVICE FEDERAL MATCH
5328,6600,INTERNAL SERVICE FEDERAL MATCH,66,INTERNAL SERVICE FEDERAL MATCH
5329,6600,INTERNAL SERVICE FEDERAL MATCH,66,INTERNAL SERVICE FEDERAL MATCH
5330,4400,HIGHWAY MAINTENANCE AND OPERATING FEDERAL MATCH,44,HIGHWAY MAINTENANCE AND OPERATING FEDERAL MATCH
5331,4400,HIGHWAY MAINTENANCE AND OPERATING FEDERAL MATCH,44,HIGHWAY MAINTENANCE AND OPERATING FEDERAL MATCH
5332,4400,HIGHWAY MAINTENANCE AND OPERATING FEDERAL MATCH,44,HIGHWAY MAINTENANCE AND OPERATING FEDERAL MATCH
5333,8800,DEBT SERVICE FEDERAL MATCH,88,DEBT SERVICE FEDERAL MATCH
5334,8800,DEBT SERVICE FEDERAL MATCH,88,DEBT SERVICE FEDERAL MATCH
5335,8800,DEBT SERVICE FEDERAL MATCH,88,DEBT SERVICE FEDERAL MATCH
5336,6600,INTERNAL SERVICE FEDERAL MATCH,66,INTERNAL SERVICE FEDERAL MATCH
5337,6600,INTERNAL SERVICE FEDERAL MATCH,66,INTERNAL SERVICE FEDERAL MATCH
5338,6600,INTERNAL SERVICE FEDERAL MATCH,66,INTERNAL SERVICE FEDERAL MATCH
5339,4400,HIGHWAY MAINTENANCE AND OPERATING FEDERAL MATCH,44,HIGHWAY MAINTENANCE AND OPERATING FEDERAL MATCH
5340,4400,HIGHWAY MAINTENANCE AND OPERATING FEDERAL MATCH,44,HIGHWAY MAINTENANCE AND OPERATING FEDERAL MATCH
5341,8800,DEBT SERVICE FEDERAL MATCH,88,DEBT SERVICE FEDERAL MATCH
5342,8800,DEBT SERVICE FEDERAL MATCH,88,DEBT SERVICE FEDERAL MATCH
5343,8800,DEBT SERVICE FEDERAL MATCH,88,DEBT SERVICE FEDERAL MATCH
5344,7700,TRUST AND AGENCY FEDERAL MATCH,77,TRUST AND AGENCY FEDERAL MATCH
5345,7700,TRUST AND AGENCY FEDERAL MATCH,77,TRUST AND AGENCY FEDERAL MATCH
5346,7700,TRUST AND AGENCY FEDERAL MATCH,77,TRUST AND AGENCY FEDERAL MATCH
5347,7700,TRUST AND AGENCY FEDERAL MATCH,77,TRUST AND AGENCY FEDERAL MATCH
5348,7700,TRUST AND AGENCY FEDERAL MATCH,77,TRUST AND AGENCY FEDERAL MATCH
5349,7700,TRUST AND AGENCY FEDERAL MATCH,77,TRUST AND AGENCY FEDERAL MATCH
5350,7700,TRUST AND AGENCY FEDERAL MATCH,77,TRUST AND AGENCY FEDERAL MATCH
5351,7700,TRUST AND AGENCY FEDERAL MATCH,77,TRUST AND AGENCY FEDERAL MATCH
5352,7700,TRUST AND AGENCY FEDERAL MATCH,77,TRUST AND AGENCY FEDERAL MATCH
5353,7700,TRUST AND AGENCY FEDERAL MATCH,77,TRUST AND AGENCY FEDERAL MATCH
5354,7700,TRUST AND AGENCY FEDERAL MATCH,77,TRUST AND AGENCY FEDERAL MATCH
5355,7700,TRUST AND AGENCY FEDERAL MATCH,77,TRUST AND AGENCY FEDERAL MATCH
5356,7700,TRUST AND AGENCY FEDERAL MATCH,77,TRUST AND AGENCY FEDERAL MATCH
5357,7700,TRUST AND AGENCY FEDERAL MATCH,77,TRUST AND AGENCY FEDERAL MATCH
5358,7700,TRUST AND AGENCY FEDERAL MATCH,77,TRUST AND AGENCY FEDERAL MATCH
5359,7700,TRUST AND AGENCY FEDERAL MATCH,77,TRUST AND AGENCY FEDERAL MATCH
5360,7700,TRUST AND AGENCY FEDERAL MATCH,77,TRUST AND AGENCY FEDERAL MATCH
5361,5500,ENTERPRISE FEDERAL MATCH,55,ENTERPRISE FEDERAL MATCH
5362,5500,ENTERPRISE FEDERAL MATCH,55,ENTERPRISE FEDERAL MATCH
5363,5500,ENTERPRISE FEDERAL MATCH,55,ENTERPRISE FEDERAL MATCH
5364,4400,HIGHWAY MAINTENANCE AND OPERATING FEDERAL MATCH,44,HIGHWAY MAINTENANCE AND OPERATING FEDERAL MATCH
5365,4400,HIGHWAY MAINTENANCE AND OPERATING FEDERAL MATCH,44,HIGHWAY MAINTENANCE AND OPERATING FEDERAL MATCH
5366,4400,HIGHWAY MAINTENANCE AND OPERATING FEDERAL MATCH,44,HIGHWAY MAINTENANCE AND OPERATING FEDERAL MATCH
5367,4400,HIGHWAY MAINTENANCE AND OPERATING FEDERAL MATCH,44,HIGHWAY MAINTENANCE AND OPERATING FEDERAL MATCH
5368,4400,HIGHWAY MAINTENANCE AND OPERATING FEDERAL MATCH,44,HIGHWAY MAINTENANCE AND OPERATING FEDERAL MATCH
5369,4400,HIGHWAY MAINTENANCE AND OPERATING FEDERAL MATCH,44,HIGHWAY MAINTENANCE AND OPERATING FEDERAL MATCH
5370,5500,ENTERPRISE FEDERAL MATCH,55,ENTERPRISE FEDERAL MATCH
5371,5500,ENTERPRISE FEDERAL MATCH,55,ENTERPRISE FEDERAL MATCH
5372,5500,ENTERPRISE FEDERAL MATCH,55,ENTERPRISE FEDERAL MATCH
5373,4400,HIGHWAY MAINTENANCE AND OPERATING FEDERAL MATCH,44,HIGHWAY MAINTENANCE AND OPERATING FEDERAL MATCH
5374,4400,HIGHWAY MAINTENANCE AND OPERATING FEDERAL MATCH,44,HIGHWAY MAINTENANCE AND OPERATING FEDERAL MATCH
5375,4400,HIGHWAY MAINTENANCE AND OPERATING FEDERAL MATCH,44,HIGHWAY MAINTENANCE AND OPERATING FEDERAL MATCH
5376,5500,ENTERPRISE FEDERAL MATCH,55,ENTERPRISE FEDERAL MATCH
5377,5500,ENTERPRISE FEDERAL MATCH,55,ENTERPRISE FEDERAL MATCH
5378,5500,ENTERPRISE FEDERAL MATCH,55,ENTERPRISE FEDERAL MATCH
5379,4400,HIGHWAY MAINTENANCE AND OPERATING FEDERAL MATCH,44,HIGHWAY MAINTENANCE AND OPERATING FEDERAL MATCH
5380,4400,HIGHWAY MAINTENANCE AND OPERATING FEDERAL MATCH,44,HIGHWAY MAINTENANCE AND OPERATING FEDERAL MATCH
5381,7700,TRUST AND AGENCY FEDERAL MATCH,77,TRUST AND AGENCY FEDERAL MATCH
5382,7700,TRUST AND AGENCY FEDERAL MATCH,77,TRUST AND AGENCY FEDERAL MATCH
5383,7700,TRUST AND AGENCY FEDERAL MATCH,77,TRUST AND AGENCY FEDERAL MATCH
5384,6600,INTERNAL SERVICE FEDERAL MATCH,66,INTERNAL SERVICE FEDERAL MATCH
5385,6600,INTERNAL SERVICE FEDERAL MATCH,66,INTERNAL SERVICE FEDERAL MATCH
5386,6600,INTERNAL SERVICE FEDERAL MATCH,66,INTERNAL SERVICE FEDERAL MATCH
5387,7700,TRUST AND AGENCY FEDERAL MATCH,77,TRUST AND AGENCY FEDERAL MATCH
5388,7700,TRUST AND AGENCY FEDERAL MATCH,77,TRUST AND AGENCY FEDERAL MATCH
5389,7700,TRUST AND AGENCY FEDERAL MATCH,77,TRUST AND AGENCY FEDERAL MATCH
5390,4400,HIGHWAY MAINTENANCE AND OPERATING FEDERAL MATCH,44,HIGHWAY MAINTENANCE AND OPERATING FEDERAL MATCH
5391,9900,DEDICATED SPECIAL REVENUE FEDERAL MATCH,99,DEDICATED SPECIAL REVENUE FEDERAL MATCH
5392,9900,DEDICATED SPECIAL REVENUE FEDERAL MATCH,99,DEDICATED SPECIAL REVENUE FEDERAL MATCH
5393,7700,TRUST AND AGENCY FEDERAL MATCH,77,TRUST AND AGENCY FEDERAL MATCH
5394,7700,TRUST AND AGENCY FEDERAL MATCH,77,TRUST AND AGENCY FEDERAL MATCH
5395,7700,TRUST AND AGENCY FEDERAL MATCH,77,TRUST AND AGENCY FEDERAL MATCH
5396,6600,INTERNAL SERVICE FEDERAL MATCH,66,INTERNAL SERVICE FEDERAL MATCH
5397,6600,INTERNAL SERVICE FEDERAL MATCH,66,INTERNAL SERVICE FEDERAL MATCH
5398,7700,TRUST AND AGENCY FEDERAL MATCH,77,TRUST AND AGENCY FEDERAL MATCH
5399,8800,DEBT SERVICE FEDERAL MATCH,88,DEBT SERVICE FEDERAL MATCH
5400,8800,DEBT SERVICE FEDERAL MATCH,88,DEBT SERVICE FEDERAL MATCH
5401,7700,TRUST AND AGENCY FEDERAL MATCH,77,TRUST AND AGENCY FEDERAL MATCH
5402,7700,TRUST AND AGENCY FEDERAL MATCH,77,TRUST AND AGENCY FEDERAL MATCH
5403,7700,TRUST AND AGENCY FEDERAL MATCH,77,TRUST AND AGENCY FEDERAL MATCH
5404,8800,DEBT SERVICE FEDERAL MATCH,88,DEBT SERVICE FEDERAL MATCH
5405,8800,DEBT SERVICE FEDERAL MATCH,88,DEBT SERVICE FEDERAL MATCH
5406,8800,DEBT SERVICE FEDERAL MATCH,88,DEBT SERVICE FEDERAL MATCH
5407,7700,TRUST AND AGENCY FEDERAL MATCH,77,TRUST AND AGENCY FEDERAL MATCH
5408,7700,TRUST AND AGENCY FEDERAL MATCH,77,TRUST AND AGENCY FEDERAL MATCH
5409,7700,TRUST AND AGENCY FEDERAL MATCH,77,TRUST AND AGENCY FEDERAL MATCH
5410,7700,TRUST AND AGENCY FEDERAL MATCH,77,TRUST AND AGENCY FEDERAL MATCH
5411,7700,TRUST AND AGENCY FEDERAL MATCH,77,TRUST AND AGENCY FEDERAL MATCH
5412,7700,TRUST AND AGENCY FEDERAL MATCH,77,TRUST AND AGENCY FEDERAL MATCH
5413,7700,TRUST AND AGENCY FEDERAL MATCH,77,TRUST AND AGENCY FEDERAL MATCH
5414,7700,TRUST AND AGENCY FEDERAL MATCH,77,TRUST AND AGENCY FEDERAL MATCH
5415,7700,TRUST AND AGENCY FEDERAL MATCH,77,TRUST AND AGENCY FEDERAL MATCH
5416,8800,DEBT SERVICE FEDERAL MATCH,88,DEBT SERVICE FEDERAL MATCH
5417,8800,DEBT SERVICE FEDERAL MATCH,88,DEBT SERVICE FEDERAL MATCH
5418,8800,DEBT SERVICE FEDERAL MATCH,88,DEBT SERVICE FEDERAL MATCH
5419,7700,TRUST AND AGENCY FEDERAL MATCH,77,TRUST AND AGENCY FEDERAL MATCH
5420,7700,TRUST AND AGENCY FEDERAL MATCH,77,TRUST AND AGENCY FEDERAL MATCH
5421,5500,ENTERPRISE FEDERAL MATCH,55,ENTERPRISE FEDERAL MATCH
5422,5500,ENTERPRISE FEDERAL MATCH,55,ENTERPRISE FEDERAL MATCH
5423,5500,ENTERPRISE FEDERAL MATCH,55,ENTERPRISE FEDERAL MATCH
5424,4400,HIGHWAY MAINTENANCE AND OPERATING FEDERAL MATCH,44,HIGHWAY MAINTENANCE AND OPERATING FEDERAL MATCH
5425,4400,HIGHWAY MAINTENANCE AND OPERATING FEDERAL MATCH,44,HIGHWAY MAINTENANCE AND OPERATING FEDERAL MATCH
5426,4400,HIGHWAY MAINTENANCE AND OPERATING FEDERAL MATCH,44,HIGHWAY MAINTENANCE AND OPERATING FEDERAL MATCH
5427,5500,ENTERPRISE FEDERAL MATCH,55,ENTERPRISE FEDERAL MATCH
5428,5500,ENTERPRISE FEDERAL MATCH,55,ENTERPRISE FEDERAL MATCH
5429,5500,ENTERPRISE FEDERAL MATCH,55,ENTERPRISE FEDERAL MATCH
5430,5500,ENTERPRISE FEDERAL MATCH,55,ENTERPRISE FEDERAL MATCH
5431,5500,ENTERPRISE FEDERAL MATCH,55,ENTERPRISE FEDERAL MATCH
5432,5500,ENTERPRISE FEDERAL MATCH,55,ENTERPRISE FEDERAL MATCH
5433,4400,HIGHWAY MAINTENANCE AND OPERATING FEDERAL MATCH,44,HIGHWAY MAINTENANCE AND OPERATING FEDERAL MATCH
5434,4400,HIGHWAY MAINTENANCE AND OPERATING FEDERAL MATCH,44,HIGHWAY MAINTENANCE AND OPERATING FEDERAL MATCH
5435,4400,HIGHWAY MAINTENANCE AND OPERATING FEDERAL MATCH,44,HIGHWAY MAINTENANCE AND OPERATING FEDERAL MATCH
5436,5500,ENTERPRISE FEDERAL MATCH,55,ENTERPRISE FEDERAL MATCH
5437,5500,ENTERPRISE FEDERAL MATCH,55,ENTERPRISE FEDERAL MATCH
5438,5500,ENTERPRISE FEDERAL MATCH,55,ENTERPRISE FEDERAL MATCH
5439,4400,HIGHWAY MAINTENANCE AND OPERATING FEDERAL MATCH,44,HIGHWAY MAINTENANCE AND OPERATING FEDERAL MATCH
5440,4400,HIGHWAY MAINTENANCE AND OPERATING FEDERAL MATCH,44,HIGHWAY MAINTENANCE AND OPERATING FEDERAL MATCH
5441,7700,TRUST AND AGENCY FEDERAL MATCH,77,TRUST AND AGENCY FEDERAL MATCH
5442,7700,TRUST AND AGENCY FEDERAL MATCH,77,TRUST AND AGENCY FEDERAL MATCH
5443,7700,TRUST AND AGENCY FEDERAL MATCH,77,TRUST AND AGENCY FEDERAL MATCH
5444,8800,DEBT SERVICE FEDERAL MATCH,88,DEBT SERVICE FEDERAL MATCH
5445,9900,DEDICATED SPECIAL REVENUE FEDERAL MATCH,99,DEDICATED SPECIAL REVENUE FEDERAL MATCH
5446,9900,DEDICATED SPECIAL REVENUE FEDERAL MATCH,99,DEDICATED SPECIAL REVENUE FEDERAL MATCH
5447,7700,TRUST AND AGENCY FEDERAL MATCH,77,TRUST AND AGENCY FEDERAL MATCH
5448,7700,TRUST AND AGENCY FEDERAL MATCH,77,TRUST AND AGENCY FEDERAL MATCH
5449,7700,TRUST AND AGENCY FEDERAL MATCH,77,TRUST AND AGENCY FEDERAL MATCH
5450,9900,DEDICATED SPECIAL REVENUE FEDERAL MATCH,99,DEDICATED SPECIAL REVENUE FEDERAL MATCH
5451,9900,DEDICATED SPECIAL REVENUE FEDERAL MATCH,99,DEDICATED SPECIAL REVENUE FEDERAL MATCH
5452,9900,DEDICATED SPECIAL REVENUE FEDERAL MATCH,99,DEDICATED SPECIAL REVENUE FEDERAL MATCH
5453,7700,TRUST AND AGENCY FEDERAL MATCH,77,TRUST AND AGENCY FEDERAL MATCH
5454,7700,TRUST AND AGENCY FEDERAL MATCH,77,TRUST AND AGENCY FEDERAL MATCH
5455,7700,TRUST AND AGENCY FEDERAL MATCH,77,TRUST AND AGENCY FEDERAL MATCH
5456,7700,TRUST AND AGENCY FEDERAL MATCH,77,TRUST AND AGENCY FEDERAL MATCH
5457,7700,TRUST AND AGENCY FEDERAL MATCH,77,TRUST AND AGENCY FEDERAL MATCH
5458,7700,TRUST AND AGENCY FEDERAL MATCH,77,TRUST AND AGENCY FEDERAL MATCH
5459,7700,TRUST AND AGENCY FEDERAL MATCH,77,TRUST AND AGENCY FEDERAL MATCH
5460,7700,TRUST AND AGENCY FEDERAL MATCH,77,TRUST AND AGENCY FEDERAL MATCH
5461,8800,DEBT SERVICE FEDERAL MATCH,88,DEBT SERVICE FEDERAL MATCH
5462,8800,DEBT SERVICE FEDERAL MATCH,88,DEBT SERVICE FEDERAL MATCH
5463,8800,DEBT SERVICE FEDERAL MATCH,88,DEBT SERVICE FEDERAL MATCH
5464,8800,DEBT SERVICE FEDERAL MATCH,88,DEBT SERVICE FEDERAL MATCH
5465,8800,DEBT SERVICE FEDERAL MATCH,88,DEBT SERVICE FEDERAL MATCH
5466,8800,DEBT SERVICE FEDERAL MATCH,88,DEBT SERVICE FEDERAL MATCH
5467,9900,DEDICATED SPECIAL REVENUE FEDERAL MATCH,99,DEDICATED SPECIAL REVENUE FEDERAL MATCH
5468,9900,DEDICATED SPECIAL REVENUE FEDERAL MATCH,99,DEDICATED SPECIAL REVENUE FEDERAL MATCH
5469,9900,DEDICATED SPECIAL REVENUE FEDERAL MATCH,99,DEDICATED SPECIAL REVENUE FEDERAL MATCH
5470,8800,DEBT SERVICE FEDERAL MATCH,88,DEBT SERVICE FEDERAL MATCH
5471,8800,DEBT SERVICE FEDERAL MATCH,88,DEBT SERVICE FEDERAL MATCH
5472,8800,DEBT SERVICE FEDERAL MATCH,88,DEBT SERVICE FEDERAL MATCH
5473,7700,TRUST AND AGENCY FEDERAL MATCH,77,TRUST AND AGENCY FEDERAL MATCH
5474,7700,TRUST AND AGENCY FEDERAL MATCH,77,TRUST AND AGENCY FEDERAL MATCH
5475,7700,TRUST AND AGENCY FEDERAL MATCH,77,TRUST AND AGENCY FEDERAL MATCH
5476,9900,DEDICATED SPECIAL REVENUE FEDERAL MATCH,99,DEDICATED SPECIAL REVENUE FEDERAL MATCH
5477,9900,DEDICATED SPECIAL REVENUE FEDERAL MATCH,99,DEDICATED SPECIAL REVENUE FEDERAL MATCH
5478,9900,DEDICATED SPECIAL REVENUE FEDERAL MATCH,99,DEDICATED SPECIAL REVENUE FEDERAL MATCH
5479,8800,DEBT SERVICE FEDERAL MATCH,88,DEBT SERVICE FEDERAL MATCH
5480,8800,DEBT SERVICE FEDERAL MATCH,88,DEBT SERVICE FEDERAL MATCH
5481,5500,ENTERPRISE FEDERAL MATCH,55,ENTERPRISE FEDERAL MATCH
5482,5500,ENTERPRISE FEDERAL MATCH,55,ENTERPRISE FEDERAL MATCH
5483,5500,ENTERPRISE FEDERAL MATCH,55,ENTERPRISE FEDERAL MATCH
5484,8800,DEBT SERVICE FEDERAL MATCH,88,DEBT SERVICE FEDERAL MATCH
5485,8800,DEBT SERVICE FEDERAL MATCH,88,DEBT SERVICE FEDERAL MATCH
5486,8800,DEBT SERVICE FEDERAL MATCH,88,DEBT SERVICE FEDERAL MATCH
5487,5500,ENTERPRISE FEDERAL MATCH,55,ENTERPRISE FEDERAL MATCH
5488,5500,ENTERPRISE FEDERAL MATCH,55,ENTERPRISE FEDERAL MATCH
5489,5500,ENTERPRISE FEDERAL MATCH,55,ENTERPRISE FEDERAL MATCH
5490,9900,DEDICATED SPECIAL REVENUE FEDERAL MATCH,99,DEDICATED SPECIAL REVENUE FEDERAL MATCH
5491,9900,DEDICATED SPECIAL REVENUE FEDERAL MATCH,99,DEDICATED SPECIAL REVENUE FEDERAL MATCH
5492,9900,DEDICATED SPECIAL REVENUE FEDERAL MATCH,99,DEDICATED SPECIAL REVENUE FEDERAL MATCH
5493,5500,ENTERPRISE FEDERAL MATCH,55,ENTERPRISE FEDERAL MATCH
5494,5500,ENTERPRISE FEDERAL MATCH,55,ENTERPRISE FEDERAL MATCH
5495,5500,ENTERPRISE FEDERAL MATCH,55,ENTERPRISE FEDERAL MATCH
5496,8800,DEBT SERVICE FEDERAL MATCH,88,DEBT SERVICE FEDERAL MATCH
5497,8800,DEBT SERVICE FEDERAL MATCH,88,DEBT SERVICE FEDERAL MATCH
5498,8800,DEBT SERVICE FEDERAL MATCH,88,DEBT SERVICE FEDERAL MATCH
5499,9900,DEDICATED SPECIAL REVENUE FEDERAL MATCH,99,DEDICATED SPECIAL REVENUE FEDERAL MATCH
5500,9900,DEDICATED SPECIAL REVENUE FEDERAL MATCH,99,DEDICATED SPECIAL REVENUE FEDERAL MATCH
5501,7700,TRUST AND AGENCY FEDERAL MATCH,77,TRUST AND AGENCY FEDERAL MATCH
5502,7700,TRUST AND AGENCY FEDERAL MATCH,77,TRUST AND AGENCY FEDERAL MATCH
5503,7700,TRUST AND AGENCY FEDERAL MATCH,77,TRUST AND AGENCY FEDERAL MATCH
5504,7700,TRUST AND AGENCY FEDERAL MATCH,77,TRUST AND AGENCY FEDERAL MATCH
5505,7700,TRUST AND AGENCY FEDERAL MATCH,77,TRUST AND AGENCY FEDERAL MATCH
5506,7700,TRUST AND AGENCY FEDERAL MATCH,77,TRUST AND AGENCY FEDERAL MATCH
5507,7700,TRUST AND AGENCY FEDERAL MATCH,77,TRUST AND AGENCY FEDERAL MATCH
