SPRG_SUB_PROGRAM_KEY,PFCN_FUNCTION_CODE,PFCN_FUNCTION_NAME,PRG_PROGRAM_CODE,PRG_PROGRAM_NAME,SPRG_SUB_PROGRAM_CODE,,SPRG_SUB_PROGRAM_NAME
3429,6,TRANSPORTATION,612,HWY SYSTEM ACQUISITION/CONTSTRUCTION BOND PROCEEDS,61200,,MANUFACTURING
3430,6,TRANSPORTATION,613,PUBLIC TRANSPORTATION SYS ACQUISITION/CONSTRUCTION,61300,,ADMINISTRATIVE AND SUPPORT SERVICES
3431,6,TRANSPORTATION,618,2005 TRANSPORTATION INITIATIVE,61800,,PUB SAFETY TELECOMMUNICATIONS/INFO SYS INFRASTRUCT
3432,6,TRANSPORTATION,619,ADMINISTRATIVE AND SUPPORT SERVICES,61900,,MEDICINE INSTRUCTION
3433,8,ENTERPRISES,819,ADMINISTRATIVE AND SUPPORT SERVICES,81924,,ENVIRONMENTAL & WATER RESOURCES RESEARCH
3434,8,ENTERPRISES,819,ADMINISTRATIVE AND SUPPORT SERVICES,81925,,PUBLIC BROADCASTING SERVICES
3435,8,ENTERPRISES,819,ADMINISTRATIVE AND SUPPORT SERVICES,81926,,MUSEUMS AND GALLERIES
3436,6,TRANSPORTATION,625,BOATING SAFETY AND REGULATION,62500,,COUNSELING AND CAREER GUIDANCE
3438,6,TRANSPORTATION,627,WATER TRANSPORTATION SYSTEM PLANNING,62700,,PUBLIC RELATIONS AND DEVELOPMENT
3439,8,ENTERPRISES,819,ADMINISTRATIVE AND SUPPORT SERVICES,81927,,OPERATION OF POWER PLANT
3440,8,ENTERPRISES,819,ADMINISTRATIVE AND SUPPORT SERVICES,81928,,INSTITUTIONAL TEACHING GRANTS
3441,2,UNDESIGNATED PROGRAMS OR CLEARING ACCOUNTS,227,REVERSION CLEARING ACCOUNT - HIGHER EDUCATION,22700,,HIGHER EDUCATION-EDUCATIONAL & GENERAL PROGRAMS
3442,2,UNDESIGNATED PROGRAMS OR CLEARING ACCOUNTS,228,REVERSION CLEARING ACCOUNT - PUBLIC EDUCATION,22800,,FOOD AND DIETARY SERVICES
3443,2,UNDESIGNATED PROGRAMS OR CLEARING ACCOUNTS,229,REVERSION CLEARING ACCT-LEGISLATIVE BRANCH REDUCT,22900,,PLANNING AND EVALUATION SERVICES
3444,4,INDIVIDUAL AND FAMILY SERVICES,419,ADMINISTRATIVE AND SUPPORT SERVICES,41999,,TEACHER MANAGEMENT AND DIRECTION
3445,4,INDIVIDUAL AND FAMILY SERVICES,420,SPECIAL HEALTH IMPROVEMENT AND DEMONSTRATION SVCS,42001,,OTHER SERVICES
3446,4,INDIVIDUAL AND FAMILY SERVICES,420,SPECIAL HEALTH IMPROVEMENT AND DEMONSTRATION SVCS,42002,,FINANCIAL ASSISTANCE TO THE ARTS
3447,2,UNDESIGNATED PROGRAMS OR CLEARING ACCOUNTS,230,REVERSION CLEARING ACCOUNT - OTHER EDUCATION,23000,,EDUCATION AND EXTENSION SERVICES
3448,2,UNDESIGNATED PROGRAMS OR CLEARING ACCOUNTS,232,REVERSION CLEAR-ECONOMIC DEVELOPMENT CONSOLIDATION,23200,,COMPUTER SERVICES
3449,2,UNDESIGNATED PROGRAMS OR CLEARING ACCOUNTS,250,NONSTATE SALARIES,25000,,MEDICAL AND CLINICAL SERVICES
3450,2,UNDESIGNATED PROGRAMS OR CLEARING ACCOUNTS,260,TEMP EMPLOYEE BENEFIT CLEARING ACCT 7/1-9/30,26000,,PUBLIC INFORMATION SERVICES
3451,2,UNDESIGNATED PROGRAMS OR CLEARING ACCOUNTS,261,TEMP EMPLOYEE BENEFIT CLEARING ACCT 10/1-12/31,26100,,VESSEL OPERATION SERVICES
3452,2,UNDESIGNATED PROGRAMS OR CLEARING ACCOUNTS,262,TEMP EMPLOYEE BENEFIT CLEARING ACCT 1/1-3/31,26200,,FINANCIAL ASST FOR CULTURAL TRANSITION
3453,4,INDIVIDUAL AND FAMILY SERVICES,420,SPECIAL HEALTH IMPROVEMENT AND DEMONSTRATION SVCS,42099,,FIN ASST FOR FOSTER CHILDREN EDUC PAYMNTS
3454,4,INDIVIDUAL AND FAMILY SERVICES,430,STATE HEALTH SERVICES,43001,,RESEARCH AND DEMONSTRATION SERVICES
3456,2,UNDESIGNATED PROGRAMS OR CLEARING ACCOUNTS,263,TEMP EMPLOYEE BENEFIT CLEARING ACCT 4/1-6/30,26300,,PHYSICAL PLANT SERVICES
3457,3,ADMINISTRATION OF JUSTICE,301,CRIME DETERRENCE,30100,,SECURITY SERVICES
3460,3,ADMINISTRATION OF JUSTICE,304,"CRIME DETECTION,INVESTIGATION AND APPREHENSION",30400,,PROBATION/PAROLE SERVICES LOCAL GRANTS & CONTRACTS
3461,3,ADMINISTRATION OF JUSTICE,349,ADMINISTRATIVE AND SUPPORT SERVICES,34904,,JUVENILE SECURITY
3462,3,ADMINISTRATION OF JUSTICE,349,ADMINISTRATIVE AND SUPPORT SERVICES,34905,,OTHER SERVICES
3463,3,ADMINISTRATION OF JUSTICE,349,ADMINISTRATIVE AND SUPPORT SERVICES,34906,,FOOD AND DIETARY SERVICES
3464,4,INDIVIDUAL AND FAMILY SERVICES,405,COMMUNICABLE AND CHRONIC DISEASE PREV AND CONTROL,40599,,PLANNING AND EVALUATION SERVICES
3465,4,INDIVIDUAL AND FAMILY SERVICES,406,HEALTH RESEARCH/PLANNING/COORDINATION,40601,,TEACHER MANAGEMENT AND DIRECTION
3466,4,INDIVIDUAL AND FAMILY SERVICES,406,HEALTH RESEARCH/PLANNING/COORDINATION,40602,,OTHER SERVICES
3467,3,ADMINISTRATION OF JUSTICE,349,ADMINISTRATIVE AND SUPPORT SERVICES,34907,,ANATOMICAL SERVICES
3468,3,ADMINISTRATION OF JUSTICE,349,ADMINISTRATIVE AND SUPPORT SERVICES,34908,,TUBERCULOSIS PREVENTION AND CONTROL
3469,3,ADMINISTRATION OF JUSTICE,349,ADMINISTRATIVE AND SUPPORT SERVICES,34909,,"MENTAL HEALTH RESEARCH,PLANNING AND COORDINATION"
3471,4,INDIVIDUAL AND FAMILY SERVICES,406,HEALTH RESEARCH/PLANNING/COORDINATION,40604,,INVESTIGATION OF TRADE PRACTICES
3472,4,INDIVIDUAL AND FAMILY SERVICES,406,HEALTH RESEARCH/PLANNING/COORDINATION,40605,,MONITORING & OVERSIGHT OF DUAL PARTY RELAY SERVICE
3473,3,ADMINISTRATION OF JUSTICE,349,ADMINISTRATIVE AND SUPPORT SERVICES,34910,,PAYMENTS TO THE PRIORITY TRANSPORTATION FUND
3474,3,ADMINISTRATION OF JUSTICE,349,ADMINISTRATIVE AND SUPPORT SERVICES,34911,,COMPUTER SERVICES
3475,3,ADMINISTRATION OF JUSTICE,349,ADMINISTRATIVE AND SUPPORT SERVICES,34913,,MEDICAL AND CLINICAL SERVICES
3476,3,ADMINISTRATION OF JUSTICE,349,ADMINISTRATIVE AND SUPPORT SERVICES,34914,,PUBLIC INFORMATION SERVICES
3477,3,ADMINISTRATION OF JUSTICE,349,ADMINISTRATIVE AND SUPPORT SERVICES,34915,,VESSEL OPERATION SERVICES
3478,3,ADMINISTRATION OF JUSTICE,349,ADMINISTRATIVE AND SUPPORT SERVICES,34916,,COLLECTION AND LOCATOR SERVICES
3479,3,ADMINISTRATION OF JUSTICE,349,ADMINISTRATIVE AND SUPPORT SERVICES,34917,,PERSONNEL SERVICES
3480,3,ADMINISTRATION OF JUSTICE,349,ADMINISTRATIVE AND SUPPORT SERVICES,34918,,RESIDENTIAL SERVICES
3481,6,TRANSPORTATION,619,ADMINISTRATIVE AND SUPPORT SERVICES,61925,,CODE MODERNIZATION
3482,6,TRANSPORTATION,619,ADMINISTRATIVE AND SUPPORT SERVICES,61926,,OTHER SERVICES
3483,6,TRANSPORTATION,619,ADMINISTRATIVE AND SUPPORT SERVICES,61927,,ACCOUNTING AND BUDGETING SERVICES
3484,6,TRANSPORTATION,619,ADMINISTRATIVE AND SUPPORT SERVICES,61928,,MEDICAL MANAGEMENT AND DIRECTION
3485,6,TRANSPORTATION,619,ADMINISTRATIVE AND SUPPORT SERVICES,61999,,COMPUTER SERVICES
3487,6,TRANSPORTATION,625,BOATING SAFETY AND REGULATION,62502,,MEDICAL AND CLINICAL SERVICES
3489,6,TRANSPORTATION,625,BOATING SAFETY AND REGULATION,62599,,FINANCIAL ASSISTANCE TO REGIONAL JAIL AUTHORITIES
3490,7,GENERAL GOVERNMENT,799,ADMINISTRATIVE AND SUPPORT SERVICES,79913,,STATE AID FOR LOCAL LAW ENFORCEMENT PROGRAMS
3491,7,GENERAL GOVERNMENT,799,ADMINISTRATIVE AND SUPPORT SERVICES,79914,,FOOD AND DIETARY SERVICES
3492,7,GENERAL GOVERNMENT,799,ADMINISTRATIVE AND SUPPORT SERVICES,79915,,PLANNING AND EVALUATION SERVICES
3494,6,TRANSPORTATION,626,PORT AND PORT FACILITY MANAGEMENT,62602,,TEACHER MANAGEMENT AND DIRECTION
3495,6,TRANSPORTATION,626,PORT AND PORT FACILITY MANAGEMENT,62603,,FIN ASST-OPERATIONS LOCAL ATTNY FOR COMMONWEALTH
3496,6,TRANSPORTATION,626,PORT AND PORT FACILITY MANAGEMENT,62604,,INFORMATION SYSTEMS
3497,6,TRANSPORTATION,626,PORT AND PORT FACILITY MANAGEMENT,62605,,OTHER SERVICES
3498,6,TRANSPORTATION,626,PORT AND PORT FACILITY MANAGEMENT,62699,,ACCOUNTING AND BUDGETING SERVICES
3499,6,TRANSPORTATION,627,WATER TRANSPORTATION SYSTEM PLANNING,62701,,MEDICAL MANAGEMENT AND DIRECTION
3500,6,TRANSPORTATION,627,WATER TRANSPORTATION SYSTEM PLANNING,62702,,RECORDS RETENTION AND WORD PROCESSING SERVICES
3501,6,TRANSPORTATION,649,ADMINISTRATIVE AND SUPPORT SERVICES,64900,,GRANT AND LOAN ADMINISTRATION
3502,6,TRANSPORTATION,650,AIR TRANSPORTATION REGULATION AND SAFETY,65000,,FIN ASST COMMUNITY BASED ALTERNATIVE TREATMENT SVC
3503,6,TRANSPORTATION,651,AIR TRANSPORTATION SYSTEM MAINTENANCE AND OPER,65100,,BINDERY AND BOOK REPAIR
3504,8,ENTERPRISES,819,ADMINISTRATIVE AND SUPPORT SERVICES,81999,,FOOTWEAR
3505,8,ENTERPRISES,820,AUTOMATED DATA PROCESSING SERVICES,82001,,PAINT MANUFACTURING
3506,8,ENTERPRISES,820,AUTOMATED DATA PROCESSING SERVICES,82002,,RECREATION FACILITIES OPERATIONS
3507,6,TRANSPORTATION,652,AIR TRANSPORTATION SYSTEM PLANNING,65200,,STUDENT UNIONS AND RECREATIONAL FACILITIES
3509,6,TRANSPORTATION,679,ADMINISTRATIVE AND SUPPORT SERVICES,67900,,DUPLICATION AND FACSIMILE SERVICES
3510,8,ENTERPRISES,820,AUTOMATED DATA PROCESSING SERVICES,82003,,OTHER SERVICES
3511,8,ENTERPRISES,820,AUTOMATED DATA PROCESSING SERVICES,82004,,HOUSEKEEPING SERVICES
3512,8,ENTERPRISES,820,AUTOMATED DATA PROCESSING SERVICES,82099,,POWER PLANT OPERATION
3513,7,GENERAL GOVERNMENT,701,GOVERNMENTAL AFFAIRS SERVICES,70100,,TRAINING AND EDUCATION SERVICES
3514,7,GENERAL GOVERNMENT,702,MANAGEMENT ANALYSIS SERVICES,70200,,INFORMATION SYSTEMS DEVELOPMENT SERVICES
3515,7,GENERAL GOVERNMENT,704,PERSONNEL MANAGEMENT SERVICES,70400,,AGENCY ASSIGNED VEHICLE SERVICES
3516,7,GENERAL GOVERNMENT,708,TRANSITION SUPPORT,70800,,PROCUREMENT SERVICES
3517,7,GENERAL GOVERNMENT,709,INFORMATION SYSTEMS SERVICES,70900,,FOOD AND DIETARY SERVICES
3518,7,GENERAL GOVERNMENT,710,EXECUTIVE DISCRETION,71000,,PLANNING AND EVALUATION SERVICES
3520,8,ENTERPRISES,821,PRINTING AND REPRODUCTION,82102,,LAW ENFORCEMENT TRAINING AND EDUCATION
3521,4,INDIVIDUAL AND FAMILY SERVICES,430,STATE HEALTH SERVICES,43003,,WILDLIFE AND FRESHWATER FISHERIES MANAGEMENT
3522,4,INDIVIDUAL AND FAMILY SERVICES,430,STATE HEALTH SERVICES,43004,,ADMINISTRATIVE AND SUPPORT SERVICES
3524,3,ADMINISTRATION OF JUSTICE,305,CRIMINAL JUSTICE RESEARCH/PLANNING/COORDINATION,30500,,TECH RESCH PLN & COORDINA
3525,3,ADMINISTRATION OF JUSTICE,306,ASSET FORFEITURE/SEIZURE FUND MGMT/FIN ASSIST PGM,30600,,REGULATION OF INDIVIDUAL SAFETY
3526,3,ADMINISTRATION OF JUSTICE,319,ADMINISTRATIVE AND SUPPORT SERVICES,31900,,FIN ASSIST TO LOCALITIES FOR GROUND TRANSPORTATION
3527,4,INDIVIDUAL AND FAMILY SERVICES,430,STATE HEALTH SERVICES,43006,,ADMINISTRATIVE AND SUPPORT SERVICES
3528,4,INDIVIDUAL AND FAMILY SERVICES,430,STATE HEALTH SERVICES,43007,,ADMINISTRATIVE AND SUPPORT SERVICES
3529,4,INDIVIDUAL AND FAMILY SERVICES,430,STATE HEALTH SERVICES,43008,,RAILROAD REGULATION
3530,3,ADMINISTRATION OF JUSTICE,320,LEGAL ADVICE,32000,,PRIMARY CONSTRUCTION
3531,3,ADMINISTRATION OF JUSTICE,321,"PRE-TRIAL,TRIAL AND APPELLATE PROCESSES",32100,,DESIGNATED HIGHWAY CORRIDOR DEVELOPMENT PROGRAMS
3532,3,ADMINISTRATION OF JUSTICE,322,PROSECUTION,32200,,DRIVER SAFETY REGULATION
3533,3,ADMINISTRATION OF JUSTICE,323,LAW LIBRARY SERVICES,32300,,TOLL FACILITY MAINTENANCE AND OPERATION
3534,3,ADMINISTRATION OF JUSTICE,324,ADJUDICATORY RESEARCH/PLANNING/COORDINATION,32400,,FINANCIAL ASSISTANCE LOCAL TRANSPORTATION PRJ MGMT
3535,3,ADMINISTRATION OF JUSTICE,325,ADJUDICATION INFORMATION SYSTEMS AND STATISTICS,32500,,ENGINEERING
3536,3,ADMINISTRATION OF JUSTICE,326,ADJUDICATION TRAINING/EDUCATION/STANDARDS,32600,,FILTRATION AND TREATMENT PLANT OPERATION
3537,3,ADMINISTRATION OF JUSTICE,327,LEGAL DEFENSE,32700,,PHYSICAL PLANT SERVICES
3538,3,ADMINISTRATION OF JUSTICE,349,ADMINISTRATIVE AND SUPPORT SERVICES,34900,,SECURITY SERVICES
3541,4,INDIVIDUAL AND FAMILY SERVICES,406,HEALTH RESEARCH/PLANNING/COORDINATION,40606,,BOATING SAFETY INFORMATION AND EDUCATION
3542,4,INDIVIDUAL AND FAMILY SERVICES,406,HEALTH RESEARCH/PLANNING/COORDINATION,40699,,OTHER SERVICES
3543,4,INDIVIDUAL AND FAMILY SERVICES,407,FINANCIAL ASSISTANCE FOR HEALTH RESEARCH,40701,,COLLECTION AND LOCATOR SERVICES
3544,3,ADMINISTRATION OF JUSTICE,349,ADMINISTRATIVE AND SUPPORT SERVICES,34919,,PERSONNEL SERVICES
3545,3,ADMINISTRATION OF JUSTICE,349,ADMINISTRATIVE AND SUPPORT SERVICES,34920,,RECORDS RETENTION AND WORD PROCESSING SERVICES
3546,3,ADMINISTRATION OF JUSTICE,349,ADMINISTRATIVE AND SUPPORT SERVICES,34921,,GRANT AND LOAN ADMINISTRATION
3547,7,GENERAL GOVERNMENT,799,ADMINISTRATIVE AND SUPPORT SERVICES,79916,,GRANTS FOR HEALTH RESEARCH SERVICES
3548,7,GENERAL GOVERNMENT,799,ADMINISTRATIVE AND SUPPORT SERVICES,79917,,HOUSEKEEPING SERVICES
3549,7,GENERAL GOVERNMENT,799,ADMINISTRATIVE AND SUPPORT SERVICES,79918,,POWER PLANT OPERATION
3550,4,INDIVIDUAL AND FAMILY SERVICES,407,FINANCIAL ASSISTANCE FOR HEALTH RESEARCH,40702,,TRAINING AND EDUCATION SERVICES
3551,4,INDIVIDUAL AND FAMILY SERVICES,419,ADMINISTRATIVE AND SUPPORT SERVICES,41901,,REVENUE STABILIZATION FUND
3552,4,INDIVIDUAL AND FAMILY SERVICES,419,ADMINISTRATIVE AND SUPPORT SERVICES,41902,,BOND AND LOAN RETIREMENT AND REDEMPTION
3553,4,INDIVIDUAL AND FAMILY SERVICES,419,ADMINISTRATIVE AND SUPPORT SERVICES,41903,,HIGHER EDUCATION STUDENT FINANCIAL ASSISTANCE
3554,4,INDIVIDUAL AND FAMILY SERVICES,419,ADMINISTRATIVE AND SUPPORT SERVICES,41904,,ARCHIVES MANAGEMENT
3555,4,INDIVIDUAL AND FAMILY SERVICES,419,ADMINISTRATIVE AND SUPPORT SERVICES,41905,,FIN ASSIST FOR PUBLIC SCHOOL EMPLOYEE BENEFITS
3556,4,INDIVIDUAL AND FAMILY SERVICES,419,ADMINISTRATIVE AND SUPPORT SERVICES,41906,,UNDESIGNATED PROGRAM
3557,4,INDIVIDUAL AND FAMILY SERVICES,419,ADMINISTRATIVE AND SUPPORT SERVICES,41907,,REVERSION CLEARING ACCOUNT - HIGHER EDUCATION
3558,4,INDIVIDUAL AND FAMILY SERVICES,419,ADMINISTRATIVE AND SUPPORT SERVICES,41908,,TEMP EMPLOYEE BENEFIT CLEARING ACCT 1/1-3/31
3559,7,GENERAL GOVERNMENT,799,ADMINISTRATIVE AND SUPPORT SERVICES,79919,,ADMINISTRATIVE AND SUPPORT SERVICES
3560,7,GENERAL GOVERNMENT,799,ADMINISTRATIVE AND SUPPORT SERVICES,79920,,LEGAL DEFENSE
3561,6,TRANSPORTATION,627,WATER TRANSPORTATION SYSTEM PLANNING,62799,,CORRECTIONS SPECIAL RESERVE FUND
3562,6,TRANSPORTATION,649,ADMINISTRATIVE AND SUPPORT SERVICES,64901,,HEALTH RESEARCH/PLANNING/COORDINATION
3563,6,TRANSPORTATION,649,ADMINISTRATIVE AND SUPPORT SERVICES,64902,,ADMINISTRATIVE AND SUPPORT SERVICES
3564,8,ENTERPRISES,821,PRINTING AND REPRODUCTION,82199,,NUTRITIONAL SERVICES
3566,8,ENTERPRISES,822,TELECOMMUNICATIONS SERVICES,82202,,GRANTS FOR NEEDY FAMILIES
3567,6,TRANSPORTATION,649,ADMINISTRATIVE AND SUPPORT SERVICES,64903,,SCHOOL FOOD ADMINISTRATION
3568,6,TRANSPORTATION,649,ADMINISTRATIVE AND SUPPORT SERVICES,64904,,FINANCIAL ASSISTANCE FOR HOUSING SERVICES
3569,6,TRANSPORTATION,649,ADMINISTRATIVE AND SUPPORT SERVICES,64905,,OTHER SERVICES
3570,8,ENTERPRISES,822,TELECOMMUNICATIONS SERVICES,82299,,UNEMPLOYMENT COMPENSATION SERVICES
3571,8,ENTERPRISES,823,TRANSPORTATION POOL SERVICES,82301,,INDIVIDUAL/FAMILY ECON INDEPENDENCE SRVCS-EMP SRVS
3573,6,TRANSPORTATION,649,ADMINISTRATIVE AND SUPPORT SERVICES,64906,,COMPUTER SERVICES
3574,6,TRANSPORTATION,649,ADMINISTRATIVE AND SUPPORT SERVICES,64907,,MEDICAL AND CLINICAL SERVICES
3575,6,TRANSPORTATION,649,ADMINISTRATIVE AND SUPPORT SERVICES,64908,,PUBLIC INFORMATION SERVICES
3576,8,ENTERPRISES,823,TRANSPORTATION POOL SERVICES,82399,,VESSEL OPERATION SERVICES
3577,8,ENTERPRISES,824,WAREHOUSING AND DISTRIBUTION SERVICES,82401,,OTHER PURCHASED SERVICES
3578,8,ENTERPRISES,824,WAREHOUSING AND DISTRIBUTION SERVICES,82402,,INPATIENT MEDICAL SERVICES
3579,6,TRANSPORTATION,649,ADMINISTRATIVE AND SUPPORT SERVICES,64909,,MEDICAL HEALTH SERVICES
3580,6,TRANSPORTATION,649,ADMINISTRATIVE AND SUPPORT SERVICES,64910,,GENERAL MANAGEMENT AND DIRECTION
3583,7,GENERAL GOVERNMENT,713,EXECUTIVE MANAGEMENT,71300,,LINEN AND LAUNDRY SERVICES
3584,3,ADMINISTRATION OF JUSTICE,355,CONFINEMENT AND CUSTODY RESEARCH/PLANNING/COORD,35500,,POWER PLANT OPERATION
3586,3,ADMINISTRATION OF JUSTICE,357,SECURE CONFINEMENT,35700,,TRAINING AND EDUCATION SERVICES
3587,7,GENERAL GOVERNMENT,714,ACROSS THE BOARD REDUCTIONS,71400,,OTHER SERVICES
3588,7,GENERAL GOVERNMENT,715,"PLANNING, BUDGETING AND EVALUATION SERVICES",71500,,FOSTER CARE
3589,7,GENERAL GOVERNMENT,716,EXECUTIVE MANAGEMENT REORGANIZATION,71600,,RESTORATION SERVICES
3590,3,ADMINISTRATION OF JUSTICE,358,CLASSIFICATION SERVICES,35800,,OTHER SERVICES
3591,3,ADMINISTRATION OF JUSTICE,359,CORRECTIONS SPECIAL RESERVE FUND,35900,,URBAN NONPOINT SOURCE POLLUTION CONTROL
3592,3,ADMINISTRATION OF JUSTICE,379,ADMINISTRATIVE AND SUPPORT SERVICES,37900,,PRESERVATION OF OPEN-SPACE LANDS
3593,7,GENERAL GOVERNMENT,717,FINANCIAL ASSISTANCE FOR LOCAL FINANCE DIRECTORS,71700,,MARINE LIFE PROPAGATION AND MANAGEMENT
3594,7,GENERAL GOVERNMENT,718,EXECUTION OF CLAIM SETTLEMENTS,71800,,OTHER SERVICES
3595,7,GENERAL GOVERNMENT,719,ADMINISTRATIVE AND SUPPORT SERVICES,71900,,CHESAPEAKE BAY MANAGEMENT REPORTING
3596,3,ADMINISTRATION OF JUSTICE,390,FIN ASSIST FOR ADMINISTRATION OF JUSTICE SERVICES,39000,,WILDLIFE AND FRESHWATER FISHERIES RESEARCH
3597,4,INDIVIDUAL AND FAMILY SERVICES,401,DISEASE CARRIER AND VECTOR CONTROL,40100,,FINANCIAL ASSISTANCE FOR WATER SUPPLY IMPROVEMENTS
3598,4,INDIVIDUAL AND FAMILY SERVICES,402,EMERGENCY MEDICAL SERVICES,40200,,WATER DISCHARGE COMPLIANCE INSPECTIONS
3599,7,GENERAL GOVERNMENT,720,REVENUE RESERVE,72000,,OTHER SERVICES
3600,7,GENERAL GOVERNMENT,721,DEFENSE PREPAREDNESS,72100,,FIN ASST FOR ENVIRONMENTAL RESOURCES MANAGEMENT
3601,4,INDIVIDUAL AND FAMILY SERVICES,430,STATE HEALTH SERVICES,43009,,INTERSTATE MANAGEMENT AND COORDINATION
3603,4,INDIVIDUAL AND FAMILY SERVICES,430,STATE HEALTH SERVICES,43011,,POWER PLANT OPERATION
3604,4,INDIVIDUAL AND FAMILY SERVICES,419,ADMINISTRATIVE AND SUPPORT SERVICES,41909,,TRAINING AND EDUCATION SERVICES
3605,4,INDIVIDUAL AND FAMILY SERVICES,419,ADMINISTRATIVE AND SUPPORT SERVICES,41910,,OTHER SERVICES
3606,4,INDIVIDUAL AND FAMILY SERVICES,419,ADMINISTRATIVE AND SUPPORT SERVICES,41911,,APIARY INSPECTION
3607,4,INDIVIDUAL AND FAMILY SERVICES,430,STATE HEALTH SERVICES,43012,,SPECIAL EVENT PROMOTION
3608,4,INDIVIDUAL AND FAMILY SERVICES,430,STATE HEALTH SERVICES,43099,,TECHNOLOGY REFORM
3609,4,INDIVIDUAL AND FAMILY SERVICES,440,COMMUNITY HEALTH SERVICES,44001,,HOUSEKEEPING SERVICES
3610,7,GENERAL GOVERNMENT,799,ADMINISTRATIVE AND SUPPORT SERVICES,79921,,POWER PLANT OPERATION
3611,7,GENERAL GOVERNMENT,799,ADMINISTRATIVE AND SUPPORT SERVICES,79922,,TRAINING AND EDUCATION SERVICES
3612,7,GENERAL GOVERNMENT,799,ADMINISTRATIVE AND SUPPORT SERVICES,79923,,EMPLOYMENT AGENCY REGULATION
3614,4,INDIVIDUAL AND FAMILY SERVICES,440,COMMUNITY HEALTH SERVICES,44003,,TEACHER MANAGEMENT AND DIRECTION
3616,7,GENERAL GOVERNMENT,799,ADMINISTRATIVE AND SUPPORT SERVICES,79924,,MILITARY RESERVATIONS AND FACILITIES
3618,7,GENERAL GOVERNMENT,799,ADMINISTRATIVE AND SUPPORT SERVICES,79926,,GENERAL REGISTRAR COMPENSATION
3619,4,INDIVIDUAL AND FAMILY SERVICES,419,ADMINISTRATIVE AND SUPPORT SERVICES,41913,,LABORATORY CUSTOMER AND PLANNING SERVICES
3620,4,INDIVIDUAL AND FAMILY SERVICES,419,ADMINISTRATIVE AND SUPPORT SERVICES,41914,,DISTRIBUTION OF ALCOHOLIC BEVERAGE CONTROL PROFITS
3621,3,ADMINISTRATION OF JUSTICE,349,ADMINISTRATIVE AND SUPPORT SERVICES,34922,,PAYMENTS ON BEHALF OF LOCALITIES
3622,3,ADMINISTRATION OF JUSTICE,349,ADMINISTRATIVE AND SUPPORT SERVICES,34923,,REAL SURPLUS PROPERTY MANAGEMENT
3623,3,ADMINISTRATION OF JUSTICE,349,ADMINISTRATIVE AND SUPPORT SERVICES,34924,,ADMINISTRATIVE PROCESSING
3624,6,TRANSPORTATION,649,ADMINISTRATIVE AND SUPPORT SERVICES,64911,,TOBACCO MASTER SETTLEMENT AGREEMENT ENFORCEMENT
3625,6,TRANSPORTATION,649,ADMINISTRATIVE AND SUPPORT SERVICES,64913,,LOCAL VALUATIONS AND ASSESSMENTS
3626,6,TRANSPORTATION,649,ADMINISTRATIVE AND SUPPORT SERVICES,64914,,LOAN SERVICING RESERVE FUND
3627,6,TRANSPORTATION,649,ADMINISTRATIVE AND SUPPORT SERVICES,64915,,OTHER SERVICES
3628,6,TRANSPORTATION,649,ADMINISTRATIVE AND SUPPORT SERVICES,64916,,OTHER SERVICES
3629,6,TRANSPORTATION,649,ADMINISTRATIVE AND SUPPORT SERVICES,64917,,OTHER SERVICES
3630,3,ADMINISTRATION OF JUSTICE,349,ADMINISTRATIVE AND SUPPORT SERVICES,34925,,ARCHITECT REGULATION
3631,3,ADMINISTRATION OF JUSTICE,349,ADMINISTRATIVE AND SUPPORT SERVICES,34926,,"ELEM AND SEC TEACHER,COUNSELOR AND ADMINISTRA REG"
3632,3,ADMINISTRATION OF JUSTICE,349,ADMINISTRATIVE AND SUPPORT SERVICES,34927,,LAWYER REGULATION
3633,6,TRANSPORTATION,649,ADMINISTRATIVE AND SUPPORT SERVICES,64918,,OPTOMETRIST REGULATION
3636,3,ADMINISTRATION OF JUSTICE,349,ADMINISTRATIVE AND SUPPORT SERVICES,34928,,PSYCHOLOGIST REGULATION
3637,3,ADMINISTRATION OF JUSTICE,349,ADMINISTRATIVE AND SUPPORT SERVICES,34999,,PROFESSIONAL COUNSELORS REGULATION
3638,3,ADMINISTRATION OF JUSTICE,350,COMMUNITY-BASED CUSTODY,35001,,TOURIST ESTABLISHMENT SANITATION REGULATION
3639,3,ADMINISTRATION OF JUSTICE,350,COMMUNITY-BASED CUSTODY,35002,,COLLECTION AND LOCATOR SERVICES
3640,3,ADMINISTRATION OF JUSTICE,350,COMMUNITY-BASED CUSTODY,35003,,PERSONNEL SERVICES
3641,8,ENTERPRISES,824,WAREHOUSING AND DISTRIBUTION SERVICES,82499,,TEACHER MANAGEMENT AND DIRECTION
3642,8,ENTERPRISES,825,PROPERTY DISPOSAL SERVICES,82501,,OTHER SERVICES
3644,8,ENTERPRISES,826,SERVICE CENTER ADMINISTRATION,82602,,FIN ASSIST FOR AIR TRANSPORTATION DEV & PLANNING
3645,8,ENTERPRISES,826,SERVICE CENTER ADMINISTRATION,82603,,ACCOUNTING AND BUDGETING SERVICES
3646,8,ENTERPRISES,849,ADMINISTRATIVE AND SUPPORT SERVICES,84901,,MEDICAL MANAGEMENT AND DIRECTION
3647,8,ENTERPRISES,849,ADMINISTRATIVE AND SUPPORT SERVICES,84902,,RECORDS RETENTION AND WORD PROCESSING SERVICES
